t,s
0.00382,1.952856407697861e-05
0.00383,1.9554108318214417e-05
0.00384,1.9579619233587384e-05
0.00385,1.9605096953192243e-05
0.00386,1.96305416062795e-05
0.00387,1.9655953321263084e-05
0.00388,1.9681332225727912e-05
0.00389,1.970667844643736e-05
0.0039,1.973199210934065e-05
0.00391,1.9757273339580144e-05
0.00392,1.978252226149859e-05
0.00393,1.980773899864621e-05
0.00394,1.9832923673787802e-05
0.00395,1.985807640890969e-05
0.00396,1.98831973252266e-05
0.00397,1.990828654318852e-05
0.00398,1.993334418248739e-05
0.00399,1.9958370362063796e-05
0.004,1.9983365200113553e-05
0.00401,2.0008328814094197e-05
0.00402,2.003326132073145e-05
0.00403,2.005816283602558e-05
0.00404,2.008303347525768e-05
0.00405,2.010787335299592e-05
0.00406,2.0132682583101688e-05
0.00407,2.015746127873569e-05
0.00408,2.018220955236397e-05
0.00409,2.0206927515763856e-05
0.0041,2.0231615280029843e-05
0.00411,2.0256272955579462e-05
0.00412,2.028090065215898e-05
0.00413,2.0305498478849157e-05
0.00414,2.033006654407083e-05
0.00415,2.035460495559054e-05
0.00416,2.0379113820525998e-05
0.00417,2.0403593245351577e-05
0.00418,2.0428043335903694e-05
0.00419,2.0452464197386144e-05
0.0042,2.0476855934375397e-05
0.00421,2.0501218650825797e-05
0.00422,2.052555245007477e-05
0.00423,2.054985743484789e-05
0.00424,2.057413370726398e-05
0.00425,2.0598381368840094e-05
0.00426,2.0622600520496476e-05
0.00427,2.064679126256146e-05
0.00428,2.0670953694776326e-05
0.00429,2.0695087916300085e-05
0.0043,2.0719194025714236e-05
0.00431,2.0743272121027468e-05
0.00432,2.0767322299680288e-05
0.00433,2.0791344658549647e-05
0.00434,2.0815339293953478e-05
0.00435,2.083930630165521e-05
0.00436,2.086324577686821e-05
0.00437,2.0887157814260224e-05
0.00438,2.0911042507957722e-05
0.00439,2.0934899951550222e-05
0.0044,2.0958730238094583e-05
0.00441,2.0982533460119232e-05
0.00442,2.100630970962834e-05
0.00443,2.1030059078106004e-05
0.00444,2.105378165652032e-05
0.00445,2.107747753532747e-05
0.00446,2.1101146804475745e-05
0.00447,2.1124789553409513e-05
0.00448,2.1148405871073178e-05
